Ordinal,Function,Ordinal_in_Function
134,??0CFtpFileFind@@QAE@PAVCFtpConnection@@K@Z @ 369 NONAME,False
135,??0CGdiObject@@QAE@XZ @ 370 NONAME,False
136,??0CGopherConnection@@QAE@PAVCInternetSession@@PAXPBDK@Z @ 371 NONAME,False
137,??0CGopherConnection@@QAE@PAVCInternetSession@@PBD11KG@Z @ 372 NONAME,False
138,??0CGopherFile@@IAE@PAX0PBDKK@Z @ 373 NONAME,False
139,??0CGopherFile@@IAE@PAXAAVCGopherLocator@@PAVCGopherConnection@@@Z @ 374 NONAME,False
140,??0CGopherFileFind@@QAE@PAVCGopherConnection@@K@Z @ 375 NONAME,False
141,??0CGopherLocator@@AAE@PBDK@Z @ 376 NONAME,False
142,??0CHandleMap@@QAE@PAUCRuntimeClass@@IH@Z @ 377 NONAME,False
143,??0CHeaderCtrl@@QAE@XZ @ 378 NONAME,False
144,??0CHotKeyCtrl@@QAE@XZ @ 379 NONAME,False
145,??0CHttpConnection@@QAE@PAVCInternetSession@@PAXPBDK@Z @ 380 NONAME,False
146,??0CHttpConnection@@QAE@PAVCInternetSession@@PBDG11K@Z @ 381 NONAME,False
147,??0CHttpFile@@IAE@PAX0PBD11K@Z @ 382 NONAME,False
148,??0CHttpFile@@IAE@PAXPBD1PAVCHttpConnection@@@Z @ 383 NONAME,False
149,??0CImageList@@QAE@XZ @ 384 NONAME,False
150,??0CInternetConnection@@QAE@PAVCInternetSession@@PBDGK@Z @ 385 NONAME,False
151,??0CInternetException@@QAE@K@Z @ 386 NONAME,False
152,??0CInternetFile@@IAE@PAX0PBD1KH@Z @ 387 NONAME,False
153,??0CInternetFile@@IAE@PAXPBDPAVCInternetConnection@@H@Z @ 388 NONAME,False
154,??0CInternetSession@@QAE@PBDKK00K@Z @ 389 NONAME,False
155,??0CListBox@@QAE@XZ @ 390 NONAME,False
156,??0CListCtrl@@QAE@XZ @ 391 NONAME,False
157,??0CListView@@QAE@XZ @ 392 NONAME,False
158,??0CLongBinary@@QAE@XZ @ 393 NONAME,False
159,??0CMapPtrToPtr@@QAE@H@Z @ 394 NONAME,False
160,??0CMapPtrToWord@@QAE@H@Z @ 395 NONAME,False
161,??0CMapStringToOb@@QAE@H@Z @ 396 NONAME,False
162,??0CMapStringToPtr@@QAE@H@Z @ 397 NONAME,False
163,??0CMapStringToString@@QAE@H@Z @ 398 NONAME,False
164,??0CMapWordToOb@@QAE@H@Z @ 399 NONAME,False
165,??0CMapWordToPtr@@QAE@H@Z @ 400 NONAME,False
166,??0CMDIChildWnd@@QAE@XZ @ 401 NONAME,False
167,??0CMDIFrameWnd@@QAE@XZ @ 402 NONAME,False
168,??0CMemFile@@QAE@I@Z @ 403 NONAME,False
169,??0CMemFile@@QAE@PAEII@Z @ 404 NONAME,False
170,??0CMenu@@QAE@XZ @ 405 NONAME,False
171,??0CMetaFileDC@@QAE@XZ @ 406 NONAME,False
172,??0CMiniDockFrameWnd@@QAE@XZ @ 407 NONAME,False
173,??0CMiniFrameWnd@@QAE@XZ @ 408 NONAME,False
174,??0CMirrorFile@@QAE@XZ @ 409 NONAME,False
175,??0CMonikerFile@@QAE@XZ @ 410 NONAME,False
176,??0CMultiDocTemplate@@QAE@IPAUCRuntimeClass@@00@Z @ 411 NONAME,False
177,??0CMultiLock@@QAE@QAPAVCSyncObject@@KH@Z @ 412 NONAME,False
178,??0CMutex@@QAE@HPBDPAU_SECURITY_ATTRIBUTES@@@Z @ 413 NONAME,False
179,??0CObArray@@QAE@XZ @ 414 NONAME,False
180,??0CObList@@QAE@H@Z @ 415 NONAME,False
181,??0CODBCFieldInfo@@QAE@XZ @ 416 NONAME,False
182,??0COleBusyDialog@@QAE@PAUHTASK__@@HKPAVCWnd@@@Z @ 417 NONAME,False
183,??0COleChangeIconDialog@@QAE@PAVCOleClientItem@@KPAVCWnd@@@Z @ 418 NONAME,False
184,??0COleChangeSourceDialog@@QAE@PAVCOleClientItem@@PAVCWnd@@@Z @ 419 NONAME,False
185,??0COleClientItem@@QAE@PAVCOleDocument@@@Z @ 420 NONAME,False
186,??0COleCmdUI@@QAE@PAU_tagOLECMD@@KPBU_GUID@@@Z @ 421 NONAME,False
187,??0COleCntrFrameWnd@@QAE@PAVCOleIPFrameWnd@@@Z @ 422 NONAME,False
188,??0COleControl@@QAE@XZ @ 423 NONAME,False
189,??0COleControlContainer@@QAE@PAVCWnd@@@Z @ 424 NONAME,False
190,??0COleControlLock@@QAE@ABU_GUID@@@Z @ 425 NONAME,False
191,??0COleControlSite@@QAE@PAVCOleControlContainer@@@Z @ 426 NONAME,False
192,??0COleConvertDialog@@QAE@PAVCOleClientItem@@KPAU_GUID@@PAVCWnd@@@Z @ 427 NONAME,False
193,??0COleCurrency@@QAE@JJ@Z @ 428 NONAME,False
194,??0COleDataObject@@QAE@XZ @ 429 NONAME,False
195,??0COleDataSource@@QAE@XZ @ 430 NONAME,False
196,??0COleDialog@@QAE@PAVCWnd@@@Z @ 431 NONAME,False
197,??0COleDispatchDriver@@QAE@ABV0@@Z @ 432 NONAME,False
198,??0COleDispatchDriver@@QAE@PAUIDispatch@@H@Z @ 433 NONAME,False
199,??0COleDispatchDriver@@QAE@XZ @ 434 NONAME,False
200,??0COleDispatchException@@QAE@PBDIG@Z @ 435 NONAME,False
201,??0COleDocIPFrameWnd@@QAE@XZ @ 436 NONAME,False
202,??0COleDocument@@QAE@XZ @ 437 NONAME,False
203,??0COleDropSource@@QAE@XZ @ 438 NONAME,False
204,??0COleDropTarget@@QAE@XZ @ 439 NONAME,False
205,??0COleFrameHook@@QAE@PAVCFrameWnd@@PAVCOleClientItem@@@Z @ 440 NONAME,False
206,??0COleInsertDialog@@QAE@KPAVCWnd@@@Z @ 441 NONAME,False
207,??0COleIPFrameWnd@@QAE@XZ @ 442 NONAME,False
208,??0COleLinkingDoc@@QAE@XZ @ 443 NONAME,False
209,??0COleLinksDialog@@QAE@PAVCOleDocument@@PAVCView@@KPAVCWnd@@@Z @ 444 NONAME,False
210,??0COleMessageFilter@@QAE@XZ @ 445 NONAME,False
211,??0COleObjectFactory@@QAE@ABU_GUID@@PAUCRuntimeClass@@HPBD@Z @ 446 NONAME,False
212,??0COlePasteSpecialDialog@@QAE@KPAVCOleDataObject@@PAVCWnd@@@Z @ 447 NONAME,False
213,??0COlePropertiesDialog@@QAE@PAVCOleClientItem@@IIPAVCWnd@@@Z @ 448 NONAME,False
214,??0COlePropertyPage@@QAE@II@Z @ 449 NONAME,False
215,??0COleResizeBar@@QAE@XZ @ 450 NONAME,False
216,??0COleSafeArray@@QAE@ABUtagSAFEARRAY@@G@Z @ 451 NONAME,False
217,??0COleSafeArray@@QAE@ABUtagVARIANT@@@Z @ 452 NONAME,False
218,??0COleSafeArray@@QAE@ABV0@@Z @ 453 NONAME,False
219,??0COleSafeArray@@QAE@PBUtagSAFEARRAY@@G@Z @ 454 NONAME,False
220,??0COleSafeArray@@QAE@PBUtagVARIANT@@@Z @ 455 NONAME,False
221,??0COleServerDoc@@QAE@XZ @ 456 NONAME,False
222,??0COleServerItem@@IAE@PAVCOleServerDoc@@H@Z @ 457 NONAME,False
223,??0COleStreamFile@@QAE@PAUIStream@@@Z @ 458 NONAME,False
224,??0COleTemplateServer@@QAE@XZ @ 459 NONAME,False
225,??0COleUILinkInfo@@QAE@PAVCOleDocument@@@Z @ 460 NONAME,False
226,??0COleUpdateDialog@@QAE@PAVCOleDocument@@HHPAVCWnd@@@Z @ 461 NONAME,False
227,??0COleVariant@@QAE@ABUtagVARIANT@@@Z @ 462 NONAME,False
228,??0COleVariant@@QAE@ABV0@@Z @ 463 NONAME,False
229,??0COleVariant@@QAE@FG@Z @ 464 NONAME,False
230,??0COleVariant@@QAE@JG@Z @ 465 NONAME,False
231,??0COleVariant@@QAE@PBDG@Z @ 466 NONAME,False
232,??0COleVariant@@QAE@PBUtagVARIANT@@@Z @ 467 NONAME,False
233,??0COleVariant@@QAE@XZ @ 468 NONAME,False
